Rank,Rank Δ,Player,Cons. Rating,Cons. Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Ws,Ls,Ds,W%,Opps Δ,Ws Δ,Ls Δ,Ds Δ,W% Δ,Timeouts,Timeouts Δ,Last Played,Active
515,-14,tkornai,1454.47,0.45,1554.85,0.69,33.46,0.08,168,109,58,1,64.88,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-09-04,True
516,+516,shmu,1453.77,,1783.05,,109.76,,15,12,3,0,80.0,,,,,,0,,2024-12-12,True
517,-28,hopeforluck,1452.95,-4.42,1533.14,-4.57,26.73,-0.05,367,202,162,3,55.04,17.0,8.0,9.0,0.0,-0.39,0,0.0,2025-01-12,True
-,-,icantdrawanime,1452.24,0.42,1550.94,0.45,32.9,0.01,174,101,72,1,58.05,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-10-30,False
-,-,aftheiss,1452.03,0.35,1614.42,0.29,54.13,-0.02,57,34,22,1,59.65,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-04-16,False
518,17,oleksandr,1451.71,15.84,1577.02,4.86,41.77,-3.66,93,55,38,0,59.14,19.0,14.0,5.0,0.0,3.73,0,0.0,2024-12-15,True
-,-,fane,1451.4,0.5,1534.05,0.47,27.55,-0.01,318,149,119,3,54.98,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-03-01,False
519,-11,abenteurer86,1450.99,0.11,1531.78,0.11,26.93,0.0,353,198,154,1,56.09,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-04-04,True
520,-20,gerti,1450.58,-3.71,1611.53,-22.04,53.65,-6.11,59,38,20,1,64.41,15.0,10.0,5.0,0.0,0.77,0,0.0,2024-12-09,True
-,-,king.i.t.north,1450.26,-0.16,1582.59,-0.31,44.11,-0.05,88,48,40,0,54.55,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-03-05,False
-,-,adrian-2909,1450.22,-0.06,1878.5,-0.03,142.76,0.01,18,18,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-03-06,False
521,-47,bobisko,1450.13,-13.09,1528.64,-13.0,26.17,0.03,560,313,243,4,55.89,6.0,0.0,6.0,0.0,-0.61,0,0.0,2024-11-16,True
522,-13,jappa,1449.52,-1.07,1528.78,-1.34,26.42,-0.09,442,227,214,1,51.36,22.0,14.0,8.0,0.0,0.65,0,0.0,2025-01-07,True
523,-4,maciek,1449.43,4.53,1525.6,4.8,25.39,0.09,861,463,393,5,53.77,17.0,11.0,6.0,0.0,0.22,0,0.0,2025-01-07,True
524,-10,clonefish,1449.15,1.52,1525.02,1.61,25.29,0.03,704,355,343,6,50.43,17.0,10.0,7.0,0.0,0.21,0,0.0,2025-01-08,True
-,-,default01,1449.11,0.0,1577.3,0.03,42.73,0.01,102,69,32,1,67.65,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-03-06,False
525,-19,cpc_chairman,1448.85,-2.33,1537.11,-2.24,29.42,0.03,227,116,110,1,51.1,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-07-15,True
-,-,paul.,1448.8,4.31,1651.06,3.56,67.42,-0.25,30,16,14,0,53.33,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-03-01,False
