Rank,Rank Δ,Player,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played
41,6,yaop,1782.44,4.52,1863.26,7.2,26.94,0.89,284,20.0,218,13.0,66,7.0,0,0.0,76.76,-0.89,2025-07-10
42,11,GZ95,1782.29,8.38,1914.67,9.47,44.13,0.36,103,3.0,78,3.0,25,0.0,0,0.0,75.73,0.73,2025-07-10
43,-4,Jaracz,1782.12,-11.41,1861.79,-8.74,26.56,0.89,481,15.0,350,7.0,124,8.0,7,0.0,72.77,-0.84,2025-07-03
-,-,Sugoi,1782.06,-4.75,1892.99,0.0,36.98,1.58,240,0.0,175,0.0,64,0.0,1,0.0,72.92,0.0,2024-07-01
44,-3,Sektat,1782.04,-5.12,1849.61,-0.49,22.52,1.54,632,22.0,391,11.0,237,11.0,4,0.0,61.87,-0.43,2025-07-05
45,-2,Fourierrr,1776.94,-8.56,1843.83,-4.05,22.3,1.5,587,22.0,381,8.0,203,13.0,3,1.0,64.91,-1.11,2025-07-04
46,8,Gilgamesh2,1776.16,3.44,1859.03,5.78,27.63,0.78,299,15.0,226,12.0,73,3.0,0,0.0,75.59,0.24,2025-07-01
47,-1,Dazzy,1775.71,-2.21,1846.74,1.4,23.68,1.2,619,20.0,394,10.0,219,10.0,6,0.0,63.65,-0.46,2025-07-05
-,-,silent_x111,1774.41,-3.77,1910.11,0.0,45.23,1.26,398,0.0,267,0.0,131,0.0,0,0.0,67.09,0.0,2022-07-06
48,-10,Lemmingsplayer,1774.03,-20.64,1904.52,-19.56,43.5,0.36,229,3.0,173,0.0,54,3.0,2,0.0,75.55,-1.0,2025-07-11
49,-4,Dantes,1772.39,-7.37,1857.73,-7.77,28.44,-0.13,224,22.0,144,12.0,79,10.0,1,0.0,64.29,-1.06,2025-07-04
50,1,Oprah,1767.55,-6.64,1835.51,0.55,22.65,2.4,901,2.0,562,1.0,336,1.0,3,0.0,62.38,-0.02,2025-06-22
51,7,yaba,1767.08,2.22,1840.43,7.87,24.45,1.88,707,15.0,426,10.0,273,5.0,8,0.0,60.25,0.13,2025-07-01
52,-3,Brightfuture,1766.25,-8.98,1830.54,-4.1,21.43,1.63,803,20.0,541,9.0,259,10.0,3,1.0,67.37,-0.57,2025-07-11
53,8,Fjantarik,1766.24,2.94,1841.66,6.65,25.14,1.24,390,15.0,259,8.0,131,7.0,0,0.0,66.41,-0.52,2025-07-10
54,-2,mbbchess,1764.56,-9.52,1859.44,-7.38,31.62,0.71,305,8.0,216,3.0,86,4.0,3,1.0,70.82,-0.9,2025-06-28
55,1,Angor,1761.41,-5.98,1853.63,0.0,30.74,1.99,489,0.0,322,0.0,163,0.0,4,0.0,65.85,0.0,2024-09-04
56,-8,Boromir7,1760.72,-15.3,1831.32,-10.16,23.53,1.71,882,18.0,540,7.0,333,11.0,9,0.0,61.22,-0.47,2025-07-08
57,6,FirstOfDao,1757.86,-1.66,1826.11,5.26,22.75,2.3,712,5.0,454,5.0,255,0.0,3,0.0,63.76,0.25,2025-06-29
58,-8,CaesarSalah,1756.78,-18.31,1824.74,-11.06,22.65,2.42,1120,20.0,662,5.0,450,15.0,8,0.0,59.11,-0.62,2025-07-07
59,1,Cogito3,1756.13,-7.93,1838.33,-8.65,27.4,-0.24,273,25.0,200,9.0,71,14.0,2,2.0,73.26,-3.76,2025-07-04
60,2,321letsjam,1755.19,-8.03,1841.85,0.0,28.89,2.68,440,0.0,306,0.0,131,0.0,3,0.0,69.55,0.0,2025-05-23
61,-6,Lech,1754.71,-12.68,1827.84,-6.87,24.38,1.94,672,21.0,424,10.0,245,10.0,3,1.0,63.1,-0.49,2025-07-03
-,-,Rabbles,1754.38,-3.71,1890.48,0.0,45.37,1.24,244,0.0,185,0.0,58,0.0,1,0.0,75.82,0.0,2023-09-03
62,25,Raskonin,1751.18,23.83,1883.36,9.71,44.06,-4.71,75,15.0,57,10.0,17,4.0,1,1.0,76.0,-2.33,2025-07-09
63,3,littlesquirrel,1749.78,-2.4,1954.97,0.0,68.4,0.8,34,0.0,31,0.0,3,0.0,0,0.0,91.18,0.0,2025-05-14
64,26,zoiedberg,1749.56,22.91,1860.82,16.83,37.08,-2.03,120,15.0,82,10.0,38,5.0,0,0.0,68.33,-0.24,2025-06-27
65,34,kyshantry,1748.87,28.96,1849.03,26.61,33.38,-0.78,321,15.0,186,12.0,133,3.0,2,0.0,57.94,1.08,2025-06-30
-,-,P373R,1748.39,-2.72,1928.54,0.0,60.05,0.91,96,0.0,82,0.0,14,0.0,0,0.0,85.42,0.0,2022-09-04
-,-,Andrethegiant,1747.27,-4.15,1867.59,0.0,40.11,1.38,294,0.0,202,0.0,92,0.0,0,0.0,68.71,0.0,2023-07-18
66,-1,gothark,1747.16,-6.14,1828.03,0.0,26.95,2.05,304,0.0,218,0.0,84,0.0,2,0.0,71.71,0.0,2025-05-31
-,-,Veivi,1746.49,-3.6,1888.3,0.0,47.27,1.2,246,0.0,163,0.0,82,0.0,1,0.0,66.26,0.0,2022-04-08
67,11,Cmacu,1746.36,11.56,1853.08,6.52,35.57,-1.68,165,15.0,113,9.0,52,6.0,0,0.0,68.48,-0.85,2025-06-28
