Rank,Rank Δ,Player,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played,Title
123,-6,funnytortoise,1664.06,3.2,1749.72,3.02,28.55,-0.06,294,21.0,178,12.0,113,9.0,3,0.0,60.54,-0.27,2025-01-25,-
124,-2,Musan,1663.79,8.19,1757.49,8.07,31.23,-0.04,225,15.0,150,10.0,73,5.0,2,0.0,66.67,0.0,2025-01-26,P
-,-,Hunty93,1662.94,-3.92,1795.78,0.0,44.28,1.31,156,0.0,83,0.0,73,0.0,0,0.0,53.21,0.0,2023-06-04,M
125,-13,bobaboba,1662.53,-2.38,1868.76,0.0,68.74,0.79,36,0.0,26,0.0,10,0.0,0,0.0,72.22,0.0,2024-07-30,-
126,100,jantteri,1661.99,79.38,1783.65,67.01,40.55,-4.12,96,21.0,69,20.0,26,1.0,1,0.0,71.88,6.55,2025-01-15,-
-,-,Kolo,1661.85,-2.57,1855.85,0.0,64.67,0.86,48,0.0,30,0.0,18,0.0,0,0.0,62.5,0.0,2021-12-05,M
-,-,tomaszchwiszczuk,1661.3,-3.07,1822.09,0.0,53.6,1.02,108,0.0,70,0.0,37,0.0,1,0.0,64.81,0.0,2022-03-06,P
127,unretired,Dots,1661.05,24.62,1900.24,2.6,79.73,-7.34,42,6.0,36,5.0,6,1.0,0,0.0,85.71,-0.4,2025-01-11,GM
128,22,Gagic,1660.67,27.19,1754.45,24.96,31.26,-0.74,201,21.0,124,18.0,77,3.0,0,0.0,61.69,2.8,2025-01-28,-
129,-37,Aranwar,1660.49,-24.96,1757.79,-22.54,32.43,0.81,282,12.0,169,6.0,111,6.0,2,0.0,59.93,-0.44,2025-01-27,P
130,-17,jonswar,1660.47,-4.35,1775.55,0.0,38.36,1.45,156,0.0,91,0.0,65,0.0,0,0.0,58.33,0.0,2024-10-13,M
-,-,Shorty55,1660.18,-2.67,1848.11,0.0,62.65,0.89,72,0.0,50,0.0,21,0.0,1,0.0,69.44,0.0,2021-03-02,M
131,-26,mushan,1659.13,-15.53,1804.59,-21.31,48.49,-1.93,129,9.0,68,5.0,57,4.0,4,0.0,52.71,0.21,2025-01-25,GM
-,-,Swampzombie,1658.84,-3.64,1797.93,0.0,46.36,1.21,144,0.0,81,0.0,60,0.0,3,0.0,56.25,0.0,2023-02-05,M
132,1,ElChupacabra,1658.5,11.82,1757.34,9.59,32.95,-0.74,171,15.0,104,9.0,66,6.0,1,0.0,60.82,-0.08,2025-01-24,M
133,-17,Dvale112,1656.59,-4.59,1744.01,-4.12,29.14,0.15,267,18.0,161,8.0,103,10.0,3,0.0,60.3,-1.15,2025-01-21,-
134,-67,Unterjochen,1655.44,-62.77,1857.34,-108.56,67.3,-15.26,60,21.0,51,14.0,9,7.0,0,0.0,85.0,-9.87,2025-01-21,-
-,-,C666,1655.36,-1.97,1904.97,0.0,83.2,0.66,36,0.0,30,0.0,6,0.0,0,0.0,83.33,0.0,2020-12-06,P
135,unretired,Nickeberg,1654.96,1.3,1800.57,-20.1,48.54,-7.13,90,18.0,55,11.0,35,7.0,0,0.0,61.11,0.0,2025-01-25,P
136,-42,Flackk,1654.43,-29.5,1745.27,-29.52,30.28,-0.01,213,15.0,129,2.0,82,13.0,2,0.0,60.56,-3.58,2025-01-21,P
137,-16,Garlett,1653.99,-4.56,1765.83,0.0,37.28,1.52,144,0.0,89,0.0,55,0.0,0,0.0,61.81,0.0,2024-09-04,P
138,-20,Doobie,1653.75,-6.85,1740.5,-7.37,28.92,-0.17,312,21.0,176,11.0,134,10.0,2,0.0,56.41,-0.29,2025-01-27,-
139,-10,Xterm,1652.68,1.21,1752.08,-1.61,33.13,-0.94,210,18.0,132,10.0,78,8.0,0,0.0,62.86,-0.68,2025-01-27,-
140,-20,Jonny125,1652.07,-6.75,1733.52,-3.78,27.15,0.99,339,15.0,190,9.0,145,6.0,4,0.0,56.05,0.19,2025-01-18,P
141,-17,treitze,1648.99,-5.46,1745.43,0.0,32.15,1.82,270,0.0,150,0.0,119,0.0,1,0.0,55.56,0.0,2024-09-04,P
142,-16,sqwndw,1647.32,-6.59,1737.77,0.0,30.15,2.2,324,0.0,173,0.0,147,0.0,4,0.0,53.4,0.0,2024-10-01,GM
143,-34,Draculade,1646.75,-24.36,1755.13,-24.36,36.13,-0.0,180,9.0,108,2.0,71,7.0,1,0.0,60.0,-1.99,2025-01-08,P
144,-7,Netopier,1646.53,2.93,1736.4,3.67,29.96,0.25,297,21.0,168,16.0,126,5.0,3,0.0,56.57,1.5,2025-01-20,M
145,-13,eNroamer,1646.25,-1.37,1733.54,-1.1,29.1,0.09,399,18.0,236,9.0,162,9.0,1,0.0,59.15,-0.43,2025-01-09,-
